
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.633 Mbyte     virtual= 20.449 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.633 Mbyte     virtual= 20.449 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.633 Mbyte     virtual= 20.449 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.2    rss= 31.699 Mbyte     virtual= 20.586 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.2    rss= 31.699 Mbyte     virtual= 20.586 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.633 Mbyte     virtual= 20.449 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.367 Mbyte     virtual= 20.504 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.699 Mbyte     virtual= 20.586 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.699 Mbyte     virtual= 20.586 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.699 Mbyte     virtual= 20.586 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:00.3    rss= 59.262 Mbyte     virtual= 51.859 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 59.266 Mbyte     virtual= 51.859 Mbyte     

  4. Frequency 6 GHz                                : etime=00:00:02.2    ctime=00:00:04.0    rss=259.012 Mbyte     virtual=299.309 Mbyte     
     1. Frequency 6 GHz                             : etime=00:00:02.2    ctime=00:00:04.0    rss=258.324 Mbyte     virtual=299.309 Mbyte     
        1. constructing matrix                      : etime=00:00:00.5    ctime=00:00:01.0    rss= 60.840 Mbyte     virtual= 53.297 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 60.840 Mbyte     virtual= 53.297 Mbyte     
           2. 3d                                    : etime=00:00:00.4    ctime=00:00:01.0    rss= 60.840 Mbyte     virtual= 53.297 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 60.840 Mbyte     virtual= 53.297 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:01.5    ctime=00:00:02.6    rss=254.367 Mbyte     virtual=296.633 Mbyte     
        3. constructing excitation (40620 x 2)      : etime=00:00:00.0    ctime=00:00:00.0    rss=255.609 Mbyte     virtual=297.871 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.1    ctime=00:00:00.1    rss=257.066 Mbyte     virtual=299.145 Mbyte     
        5. error estimation                         : etime=00:00:00.1    ctime=00:00:00.2    rss=258.035 Mbyte     virtual=299.172 Mbyte     
           1. volume errors                         : etime=00:00:00.1    ctime=00:00:00.1    rss=258.008 Mbyte     virtual=299.172 Mbyte     
           2. face errors                           : etime=00:00:00.0    ctime=00:00:00.1    rss=258.035 Mbyte     virtual=299.172 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=259.012 Mbyte     virtual=299.309 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=258.426 Mbyte     virtual=299.309 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=258.812 Mbyte     virtual=299.309 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=258.812 Mbyte     virtual=299.309 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=258.820 Mbyte     virtual=299.309 Mbyte     

  5. generating refinement points                   : etime=00:00:00.1    ctime=00:00:00.1    rss=259.227 Mbyte     virtual=299.648 Mbyte     

  1. setup                                          : etime=00:00:00.3    ctime=00:00:00.4    rss= 33.812 Mbyte     virtual= 22.473 Mbyte     
     1. loading mesh                                : etime=00:00:00.2    ctime=00:00:00.2    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
        1. reading ovm-file                         : etime=00:00:00.1    ctime=00:00:00.1    rss= 25.590 Mbyte     virtual= 15.543 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
